country,year,party_id,party,vote,epvote,family,eu_position,eu_foreign,lrgen,lrecon,eu_intmark,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,regions,ethnic_minorities,environment,nationalism
1,1999,115,FN,1.5,1.52,1,2.142857074737549,2.0,9.88888931274414,8.75,,,,,,,,,,,,,
1,1999,109,CVP,14.1,13.49,4,6.888888835906982,6.55555534362793,5.777777671813965,5.75,,,,,,,,,,,,,
1,1999,107,PVV/VLD,14.3,13.61,3,6.666666507720947,6.55555534362793,7.111111164093018,7.625,,,,,,,,,,,,,
1,1999,106,PRL,7.7,6.69,3,6.55555534362793,6.55555534362793,6.666666507720947,7.0,,,,,,,,,,,,,
1,1999,110,VU,5.6,7.57,8,5.0,4.875,5.125,5.0,,,,,,,,,,,,,
1,1999,111,FDF,2.4,3.34,8,6.142857074737549,6.285714149475098,6.111111164093018,6.25,,,,,,,,,,,,,
1,1999,103,SP,9.6,8.84,5,6.666666507720947,6.55555534362793,3.333333253860474,3.125,,,,,,,,,,,,,
1,1999,113,MCC,0.0,0.0,4,6.428571224212646,6.400000095367432,5.571428775787354,5.800000190734863,,,,,,,,,,,,,
1,1999,114,ID21,0.0,0.0,8,4.625,4.875,5.142857074737549,5.142857074737549,,,,,,,,,,,,,
1,1999,108,PSC,5.9,4.95,4,6.888888835906982,6.55555534362793,5.222222328186035,5.25,,,,,,,,,,,,,
1,1999,102,PS,10.2,9.59,5,6.666666507720947,6.55555534362793,3.111111164093018,2.625,,,,,,,,,,,,,
1,1999,105,AGALEV,7.0,7.46,7,6.0,5.111111164093018,2.444444417953491,2.125,,,,,,,,,,,,,
1,1999,112,VB,9.9,9.39,1,2.222222328186035,3.125,9.88888931274414,8.75,,,,,,,,,,,,,
1,1999,104,ECOLO,7.3,8.44,7,5.777777671813965,5.111111164093018,1.888888835906982,1.75,,,,,,,,,,,,,
1,2002,102,PS,10.2,9.59,5,6.09,6.33,3.35,2.5,4.1,,,,,,,,,,,,
1,2002,108,CDH,5.9,4.95,4,6.3,6.44,5.65,6.0,5.78,,,,,,,,,,,,
1,2002,109,CD&V,14.1,13.49,4,6.64,6.63,5.95,5.82,5.8,,,,,,,,,,,,
1,2002,107,VLD,14.3,13.61,3,6.54,6.82,6.23,7.45,6.7,,,,,,,,,,,,
1,2002,105,AGALEV,7.0,7.46,7,5.95,5.1,2.64,2.45,3.78,,,,,,,,,,,,
1,2002,112,VB,9.9,9.39,1,2.73,2.75,9.55,7.9,2.88,,,,,,,,,,,,
1,2002,103,SP,9.6,8.84,5,5.45,6.55,3.5,3.0,4.0,,,,,,,,,,,,
1,2002,110,NVA,5.6,7.57,8,5.0,5.0,6.22,5.67,5.0,,,,,,,,,,,,
1,2002,106,MR,10.1,6.69,3,6.22,6.89,6.35,7.3,6.33,,,,,,,,,,,,
1,2002,104,ECOLO,7.3,8.44,7,5.9,5.0,2.56,2.4,3.88,,,,,,,,,,,,
1,2006,109,CD&V,13.3,13.05,4,6.3,6.13,5.56,5.563,5.67,4.5,5.329999923706055,6.369999885559082,6.380000114440918,3.559999942779541,6.5,5.880000114440918,2.8699999,6.3699999,4.670000076293945,,
1,2006,106,MR,11.4,10.3,3,6.43,6.33,6.67,7.5,6.5,1.5,7.5,3.3299999237060547,7.0,5.170000076293945,3.829999923706055,5.329999923706055,3.4000000999999997,2.8299999,4.329999923706055,,
1,2006,105,Groen,2.5,4.9,7,5.1,4.88,1.89,1.63,4.0,8.870000004768372,1.440000057220459,9.0,3.630000114440918,9.370000004768372,1.879999995231628,1.129999995231628,9.25,4.75,9.0,,
1,2006,110,NVA,3.1,4.35,8,4.9,5.0,7.89,7.13,4.88,3.25,6.110000133514404,4.619999885559082,6.630000114440918,3.0,5.25,7.380000114440918,1.5,6.75,2.2899999618530273,,
1,2006,102,PS,13.0,13.5,5,5.71,5.83,3.5,3.17,4.0,7.329999923706055,2.329999923706055,8.0,3.670000076293945,7.670000076293945,1.330000042915344,2.5,5.8000002,3.8299999,6.829999923706055,,
1,2006,108,CDH,5.5,5.7,4,6.57,6.33,5.5,5.83,5.83,5.329999923706055,4.670000076293945,6.0,6.0,3.5,5.829999923706055,4.829999923706055,5.0,3.0,6.329999923706055,,
1,2006,112,VB,11.6,14.3,1,2.5,3.88,9.67,7.13,4.33,3.25,5.670000076293945,3.8600001335144043,9.880000114440918,0.32999992370605646,6.880000114440918,9.880000114440918,0.0,6.75,0.0,,
1,2006,104,ECOLO,3.1,3.7,7,5.57,5.67,2.83,3.5,3.67,7.170000076293945,2.0,8.0,2.329999923706055,8.5,1.330000042915344,2.0,8.0,3.6700001,7.670000076293945,,
1,2006,103,SPA,14.9,11.0,5,5.6,5.5,3.22,2.63,3.89,8.120000004768372,2.220000028610229,8.120000004768372,4.0,8.669999957084656,1.629999995231628,3.75,6.6199999,5.1199999,6.710000038146973,,
1,2006,107,VLD,15.4,13.6,3,6.8,6.75,6.78,7.88,6.56,1.869999885559082,8.220000267028809,4.25,5.130000114440918,9.0,1.139999985694885,6.130000114440918,4.5,5.25,5.0,,
1,2010,112,VB,7.76,9.85,1,2.599999904632568,4.07692289352417,9.857142448425291,7.933333396911621,4.166666507720947,2.0,7.428571224212646,3.8888888359069824,9.181818008422852,1.0,4.599999904632568,10.0,0.0909089999999999,8.3333334,0.8999996185302717,2.3333335,
1,2010,103,SPA,9.24,8.21,5,6.066666603088379,6.428571224212646,3.428571224212646,3.199999809265137,5.214285850524902,7.384615421295166,2.888888835906982,7.545454502105713,3.599999904632568,8.181818127632141,1.636363625526428,4.0,5.5,6.25,6.200000047683716,6.0833333,
1,2010,117,LDD,2.31,4.51,9,3.5,5.833333492279053,8.428571701049805,8.866666793823242,5.0,0.6153850555419922,8.333333015441895,1.6000003814697266,8.666666984558105,5.818181991577148,1.0,8.666666984558105,1.0,7.7272727,1.5555553436279297,2.25,
1,2010,119,PVDA,0.14,0.61,6,2.384615421295166,3.857142925262451,0.2857142686843872,0.2000000476837158,3.833333253860474,9.818181812763214,0.1666666716337204,9.888888888061047,1.714285731315613,8.428571462631226,1.25,0.300000011920929,8.125,3.8571429000000004,8.142857193946838,5.375,
1,2010,107,VLD,8.64,12.75,3,6.666666507720947,6.785714149475098,6.928571224212646,7.600000381469727,6.857142925262451,1.6153850555419922,7.0,3.8000001907348633,5.090909004211426,8.090909123420715,1.545454502105713,6.583333492279053,3.9166665,6.25,4.5,3.3333335,
1,2010,109,CD&V,10.85,14.43,4,6.733333110809326,6.785714149475098,5.785714149475098,5.400000095367432,6.142857074737549,5.07692289352417,5.333333492279053,5.818181991577148,5.181818008422852,4.181818008422852,7.090909004211426,5.583333492279053,3.8333335,7.1666667,4.900000095367432,4.5,
1,2010,108,CDH,5.52,4.99,4,6.571428775787354,6.666666507720947,4.5,4.0,6.083333492279053,5.384615421295166,4.25,6.636363744735718,4.454545497894287,5.818181991577148,5.454545497894287,3.0,6.0833333,3.8333335,6.799999952316284,4.4545455,
1,2010,105,Groen,4.38,4.9,7,6.199999809265137,5.928571224212646,2.285714387893677,2.333333253860474,4.285714149475098,8.076923131942749,2.0,8.181818127632141,2.181818246841431,9.09090906381607,2.545454502105713,1.416666626930237,7.75,5.5,8.399999976158142,8.9166666,
1,2010,102,PS,13.7,10.88,5,6.199999809265137,6.333333492279053,2.5,2.571428537368774,5.083333492279053,8.307692289352417,2.375,8.181818127632141,2.636363744735718,8.181818127632141,1.454545497894287,2.0,6.75,4.4166665,7.555555582046509,5.0833335,
1,2010,110,NVA,17.4,6.13,8,5.333333492279053,6.230769157409668,7.571428298950195,7.800000190734863,6.083333492279053,1.9230766296386719,7.0,3.6999998092651367,7.181818008422852,3.7272725105285636,4.699999809265137,7.916666507720947,1.4166670000000003,8.3333334,3.0,2.909091,
