country,year,party_id,party,vote,epvote,family,eu_position,eu_foreign,lrgen,lrecon,eu_intmark,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,regions,ethnic_minorities,environment,nationalism,mds1,mds2
1,1999,115,FN,1.5,1.52,1,1.904761791229248,1.6666666666666667,9.88888931274414,8.75,,,,,,,,,,,,,,-1.8447321509067849,2.746356302123736
1,1999,109,CVP,14.1,13.49,4,9.814814726511637,9.259258906046549,5.777777671813965,5.75,,,,,,,,,,,,,,-0.9871147649674341,-1.3686735452930352
1,1999,107,PVV/VLD,14.3,13.61,3,9.444444179534912,9.259258906046549,7.111111164093018,7.625,,,,,,,,,,,,,,-1.9320114979411471,-0.9360657897062261
1,1999,106,PRL,7.7,6.69,3,9.259258906046549,9.259258906046549,6.666666507720947,7.0,,,,,,,,,,,,,,-1.5994298002111433,-1.0051732746224107
1,1999,110,VU,5.6,7.57,8,6.666666666666667,6.458333333333333,5.125,5.0,,,,,,,,,,,,,,-0.09585461041727587,-0.26170264737354026
1,1999,111,FDF,2.4,3.34,8,8.571428457895914,8.809523582458496,6.111111164093018,6.25,,,,,,,,,,,,,,-1.1158354654386846,-0.9189179456071727
1,1999,103,SP,9.6,8.84,5,9.444444179534912,9.259258906046549,3.333333253860474,3.125,,,,,,,,,,,,,,0.5283740215086515,-1.877556370069388
1,1999,113,MCC,0.0,0.0,4,9.047618707021076,9.000000158945719,5.571428775787354,5.800000190734863,,,,,,,,,,,,,,-0.8734413136049162,-1.1721660370507343
1,1999,114,ID21,0.0,0.0,8,6.041666666666667,6.458333333333333,5.142857074737549,5.142857074737549,,,,,,,,,,,,,,-0.09425006072530658,-0.10980286106826971
1,1999,108,PSC,5.9,4.95,4,9.814814726511637,9.259258906046549,5.222222328186035,5.25,,,,,,,,,,,,,,-0.6733835521859565,-1.4937948313046772
1,1999,102,PS,10.2,9.59,5,9.444444179534912,9.259258906046549,3.111111164093018,2.625,,,,,,,,,,,,,,0.7544615656310537,-1.9608111860498445
1,1999,105,AGALEV,7.0,7.46,7,8.333333333333334,6.851851940155029,2.444444417953491,2.125,,,,,,,,,,,,,,1.3895225195002934,-1.3353639424244195
1,1999,112,VB,9.9,9.39,1,2.037037213643392,3.5416666666666665,9.88888931274414,8.75,,,,,,,,,,,,,,-2.056859512221309,2.3277845543866476
1,1999,104,ECOLO,7.3,8.44,7,7.962962786356608,6.851851940155029,1.888888835906982,1.75,,,,,,,,,,,,,,1.67858131909077,-1.3655255285039458
1,2002,102,PS,10.2,9.59,5,8.483333333333333,8.883333333333333,3.35,2.5,5.166666666666666,,,,,,,,,,,,,-1.2669190853117496,1.6191711793639083
1,2002,108,CDH,5.9,4.95,4,8.833333333333334,9.066666666666668,5.65,6.0,7.966666666666668,,,,,,,,,,,,,-1.6573819151670548,-0.7506910149145267
1,2002,109,CD&V,14.1,13.49,4,9.4,9.383333333333333,5.95,5.82,8.0,,,,,,,,,,,,,-1.8437093524042873,-0.8037785255773977
1,2002,107,VLD,14.3,13.61,3,9.233333333333333,9.700000000000001,6.23,7.45,9.5,,,,,,,,,,,,,-2.2324088476176867,-1.6003326018530128
1,2002,105,AGALEV,7.0,7.46,7,8.25,6.833333333333333,2.64,2.45,4.633333333333333,,,,,,,,,,,,,-0.5413977914829861,1.7973726316740066
1,2002,112,VB,9.9,9.39,1,2.8833333333333333,2.9166666666666665,9.55,7.9,3.133333333333333,,,,,,,,,,,,,2.7771589196070305,-2.111827941872587
1,2002,103,SP,9.6,8.84,5,7.416666666666667,9.25,3.5,3.0,5.0,,,,,,,,,,,,,-1.1545583883717,1.5597263475290488
1,2002,110,NVA,5.6,7.57,8,6.666666666666667,6.666666666666667,6.22,5.67,6.666666666666667,,,,,,,,,,,,,-0.1523986979576266,-0.6517593095662617
1,2002,106,MR,10.1,6.69,3,8.7,9.816666666666666,6.35,7.3,8.883333333333333,,,,,,,,,,,,,-2.0696097031335383,-1.525663702737584
1,2002,104,ECOLO,7.3,8.44,7,8.166666666666666,6.666666666666667,2.56,2.4,4.8,,,,,,,,,,,,,-0.5204861846565987,1.8098766829902317
1,2006,109,CD&V,13.3,13.05,4,8.833333333333334,8.549999999999999,5.56,5.563,7.783333333333334,4.5,5.329999923706055,6.369999885559082,6.380000114440918,3.559999942779541,6.5,5.880000114440918,2.8699999,6.3699999,4.670000076293945,,,1.4849687452597016,0.1290464300127328
1,2006,106,MR,11.4,10.3,3,9.049999999999999,8.883333333333333,6.67,7.5,9.166666666666666,1.5,7.5,3.3299999237060547,7.0,5.170000076293945,3.829999923706055,5.329999923706055,3.4000000999999997,2.8299999,4.329999923706055,,,3.3121073619235633,2.161714790197334
1,2006,105,Groen,2.5,4.9,7,6.833333333333333,6.466666666666666,1.89,1.63,5.0,8.870000004768372,1.440000057220459,9.0,3.630000114440918,9.370000004768372,1.879999995231628,1.129999995231628,9.25,4.75,9.0,,,-5.291506835331996,0.6150544774176578
1,2006,110,NVA,3.1,4.35,8,6.5,6.666666666666667,7.89,7.13,6.466666666666666,3.25,6.110000133514404,4.619999885559082,6.630000114440918,3.0,5.25,7.380000114440918,1.5,6.75,2.2899999618530273,,,3.1949657060231487,-0.7569277313370766
1,2006,102,PS,13.0,13.5,5,7.8500000000000005,8.049999999999999,3.5,3.17,5.0,7.329999923706055,2.329999923706055,8.0,3.670000076293945,7.670000076293945,1.330000042915344,2.5,5.8000002,3.8299999,6.829999923706055,,,-3.1599329960657934,0.22857743268920294
1,2006,108,CDH,5.5,5.7,4,9.283333333333333,8.883333333333333,5.5,5.83,8.049999999999999,5.329999923706055,4.670000076293945,6.0,6.0,3.5,5.829999923706055,4.829999923706055,5.0,3.0,6.329999923706055,,,0.9560382080161048,0.39802374842147364
1,2006,112,VB,11.6,14.3,1,2.5,4.8,9.67,7.13,5.55,3.25,5.670000076293945,3.8600001335144043,9.880000114440918,0.32999992370605646,6.880000114440918,9.880000114440918,0.0,6.75,0.0,,,5.266327874228565,-2.999056681109802
1,2006,104,ECOLO,3.1,3.7,7,7.616666666666667,7.783333333333334,2.83,3.5,4.45,7.170000076293945,2.0,8.0,2.329999923706055,8.5,1.330000042915344,2.0,8.0,3.6700001,7.670000076293945,,,-4.16196828166731,1.1404416806544517
1,2006,103,SPA,14.9,11.0,5,7.666666666666667,7.5,3.22,2.63,4.816666666666667,8.120000004768372,2.220000028610229,8.120000004768372,4.0,8.669999957084656,1.629999995231628,3.75,6.6199999,5.1199999,6.710000038146973,,,-3.3000495912956027,0.04578653262123949
1,2006,107,VLD,15.4,13.6,3,9.666666666666666,9.583333333333334,6.78,7.88,9.266666666666666,1.869999885559082,8.220000267028809,4.25,5.130000114440918,9.0,1.139999985694885,6.130000114440918,4.5,5.25,5.0,,,1.937027986489154,3.740867462050933
